2019-12-02 16:48:51.8307 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 16:49:41.7932 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 16:50:09.2959 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 16:51:47.1858 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 16:52:16.6249 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 17:06:20.8503 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 17:07:12.1893 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 17:08:31.0304 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 17:08:37.4066 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 17:09:03.6910 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 17:09:27.8624 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 17:10:25.3584 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 17:11:03.5635 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 17:11:45.5560 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 17:16:15.4284 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 17:18:25.9398 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 17:19:07.0124 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 17:24:58.3491 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 17:25:57.9099 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 17:27:24.4177 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 17:28:46.4938 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 17:29:22.8273 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 17:47:11.1145 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 17:48:09.4999 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 17:51:33.3480 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 17:54:00.8689 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 18:12:24.7913 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 18:13:53.1711 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 18:17:14.9490 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 18:18:20.9396 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 18:24:55.6985 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 18:25:54.3206 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 18:26:40.3491 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 18:28:22.7562 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 18:29:18.9691 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 18:30:51.2539 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 18:38:43.7188 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 18:39:18.7836 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 18:40:58.1548 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
2019-12-02 18:41:47.6240 | INFO | WebApi.Controllers.ClientOrderController | {"Client_id":2, "Department_address":"address", "Amount":5000, "Currency":"UAH", "Client_ip":"::1"}
